artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
Ed Sheeran,Little Lady (feat. Mikill Pane),5rKb6l02IplvF9I0sJI9Lj,No.5 Collaborations Project,6DpIyaMgt5p9HlGd1c0LDM,2011-09-09,36,False,0.437,0.5,A,-7.103,Major,0.105,0.731,0.0,0.157,0.437,85.293,4,['Mikill Pane'],Extended Play,05:28,2011,September,Friday
Ed Sheeran,Amazing,7ufmRzRlhMPwKo0mm0qEd4,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,27,False,0.809,0.664,C,-7.265,Major,0.0373,0.429,1.55e-06,0.131,0.374,116.996,4,[],Studio Album,04:05,2023,September,Friday
Ed Sheeran,Punchline,5IUq1DyjOjej1u3U9gWaUa,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,33,False,0.534,0.407,B,-7.994,Major,0.0261,0.844,0.0,0.113,0.616,154.059,4,[],Studio Album,03:26,2023,September,Friday
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),71BgDMZ6FbL5AKcERaxJ6n,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,29,False,0.857,0.621,A,-6.376,Minor,0.0825,0.148,0.0,0.0865,0.668,97.989,4,"['Camila Cabello', 'Cardi B']",Studio Album,03:24,2019,July,Friday
Ed Sheeran,That’s On Me,0OyeNV6VDZ8RSrfZVrSvM2,Autumn Variations,4JBIPXbjtBx7keWjTnGYeJ,2023-09-29,27,False,0.82,0.693,G,-6.279,Major,0.108,0.63,0.0,0.0624,0.587,107.002,4,[],Studio Album,03:47,2023,September,Friday
Ed Sheeran,Beautiful People (feat. Khalid),3aCjJgEAW018s9BuGiAgob,No.6 Collaborations Project,5oUZ9TEZR3wOdvqzowuNwl,2019-07-12,28,False,0.64,0.647,F,-8.114,Minor,0.186,0.124,0.0,0.0801,0.546,92.979,4,['Khalid'],Studio Album,03:17,2019,July,Friday
Ed Sheeran,Tides,2034O98KseYfXW4eETgm9h,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,27,False,0.631,0.825,B,-3.971,Major,0.0433,0.0167,0.0,0.122,0.427,129.942,3,[],Compilation Album,03:15,2022,May,Friday
Ed Sheeran,First Times,6ih77QgShm0RSp913VkGZn,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,27,False,0.587,0.267,G#/Ab,-9.206,Major,0.0349,0.84,0.0,0.121,0.352,98.845,4,[],Compilation Album,03:05,2022,May,Friday
Ed Sheeran,Small Bump - Live at Wembley Stadium,4B1EYMTYNUfwRoD9MARPgT,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2015-11-13,20,False,0.69,0.696,A,-7.432,Major,0.183,0.219,0.0,0.958,0.237,125.735,4,[],Live Album,05:02,2015,November,Friday
Ed Sheeran,2step (feat. Armaan Malik),1vf09n9QoDVWhBImRgQQyG,2step (feat. Armaan Malik),6Ez4Ul37Uzz9yGcorzhGMV,2022-05-23,38,False,0.747,0.667,E,-5.181,Minor,0.0566,0.18,0.0,0.146,0.508,95.0,4,['Armaan Malik'],Single,02:33,2022,May,Monday
